feature,weight
branch_perimeter,0.16622705344653652
cell_convex_hull_area,0.14147424205346945
cell_perimeter,0.1132379111654484
skeleton_length,0.08867726740696313
cell_circularity,0.07953059299547549
sholl_sum,0.0715687920752019
num_end_nodes,0.06404454279134264
cell_convex_hull_perimeter,0.061419875508186624
total_nodes,0.04031429135155451
cell_area,0.038490428176544
branch_area,0.01845967142079875
cell_solidity,0.017578561638390958
num_junctions,0.016013543677085008
cell_convexity,0.012146710780618358
sholl_peak,0.010502589371493284
sholl_max_radius,0.009666044009416001
soma_perimeter,0.008763852932053562
num_components,0.00820531125970239
soma_circularity,0.007655424379545774
cell_convex_circularity,0.006709900473101401
soma_area,0.0061395153245885885
num_start_nodes,0.005402508579782119
sholl_peak_radius,0.00437896323093297
end_to_start_ratio,0.00257000675869716
sholl_min_radius,0.0008223991930710361
