feature,weight
sholl_sum,0.055317777602813666
skeleton_length,0.05531777611786107
cell_perimeter,0.054971448938008725
branch_perimeter,0.05333170054675274
cell_convex_hull_perimeter,0.05207556231301362
soma_perimeter,0.05090194388986444
num_end_nodes,0.04975288615976435
cell_convex_hull_area,0.04741413717309635
branch_area,0.047024848573626245
total_nodes,0.0468839019817896
num_junctions,0.04609827302776123
soma_area,0.04484482359035463
cell_area,0.04437963370970527
sholl_max_radius,0.04308659828857331
soma_circularity,0.041877921517416726
sholl_peak,0.038457961573896596
cell_solidity,0.037570072652183505
cell_circularity,0.03559800743168958
cell_convexity,0.03218625096173616
num_components,0.03143405823706155
num_start_nodes,0.02937351554696944
end_to_start_ratio,0.029258391121310557
sholl_peak_radius,0.023990177916441213
sholl_min_radius,0.008498182341878305
cell_convex_circularity,0.00035414878643116366
